codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,inicio_observaciones,fin_observaciones,cantidad_observaciones,inicio_automatica
8130006,DGA,dga_web,Diguillin,670,-36.8686,-71.6425,81.0,Rio Itata,813.0,Itata Medio,1965-01-29,1993-12-31,9658,-
8372002,DGA,dga_web,Rio Polcura En Cuatro Junta,1319,-37.1072,-71.2422,83.0,Rio Bio-Bio,837.0,Rio Laja Alto (Hasta Bajo Junta Rio Rucue),2014-01-01,2018-02-04,875,2014-01-01
8372001,DGA,dga_web,Alto Mallines,1770,-37.1589,-71.2425,83.0,Rio Bio-Bio,837.0,Rio Laja Alto (Hasta Bajo Junta Rio Rucue),2002-01-01,2018-02-04,3939,2002-01-01
8318002,DGA,dga_web,Quilaco,231,-37.685,-72.0058,83.0,Rio Bio-Bio,831.0,Rio Bio-Bio Entre Rio Ranquil Y Rio Duqueco,1965-02-10,1993-12-26,9262,-
8316002,DGA,dga_web,Rio Huequecura Aguas Arriba De Embalse Angostura,330,-37.7047,-71.7683,83.0,Rio Bio-Bio,831.0,Rio Bio-Bio Entre Rio Ranquil Y Rio Duqueco,2013-12-23,2018-02-04,1438,2013-12-23
8317006,DGA,dga_web,Embalse Central Angostura,324,-37.7131,-71.8172,83.0,Rio Bio-Bio,831.0,Rio Bio-Bio Entre Rio Ranquil Y Rio Duqueco,2013-12-23,2018-02-04,1505,2013-12-23
8358002,DGA,dga_web,Angol (La Mona),113,-37.7794,-72.6372,83.0,Rio Bio-Bio,835.0,Rios Malleco Y Vergara,2011-03-01,2018-02-04,1241,2013-10-25
8317004,DGA,dga_web,Rio Biobio En La Culebra,338,-37.7964,-71.6989,83.0,Rio Bio-Bio,831.0,Rio Bio-Bio Entre Rio Ranquil Y Rio Duqueco,2013-12-23,2018-02-04,1469,2013-12-23
8358003,DGA,dga_web,El Vergel (Angol),75,-37.8172,-72.65,83.0,Rio Bio-Bio,835.0,Rios Malleco Y Vergara,1981-04-13,1993-12-31,4433,-
8313002,DGA,dga_web,Embalse Pangue,512,-37.9183,-71.5961,83.0,Rio Bio-Bio,831.0,Rio Bio-Bio Entre Rio Ranquil Y Rio Duqueco,2014-01-01,2018-01-01,1254,2014-01-01
8351003,DGA,dga_web,Collipulli,240,-37.9583,-72.4256,83.0,Rio Bio-Bio,835.0,Rios Malleco Y Vergara,1967-11-21,1974-08-24,1567,-
8822008,DGA,dga_web,Contulmo,41,-38.0186,-73.23,88.0,Costeras Lebu-Paicavi,882.0,Rio Paicavi,1987-07-07,1993-09-30,1427,-
8312002,DGA,dga_web,Embalse Ralco,742,-38.0583,-71.4344,83.0,Rio Bio-Bio,831.0,Rio Bio-Bio Entre Rio Ranquil Y Rio Duqueco,2015-01-01,2018-02-04,1078,2015-01-01
8308000,DGA,dga_web,Rio Lomin En Puente La Junta,755,-38.0661,-71.3497,83.0,Rio Bio-Bio,830.0,Rio Bio-Bio Alto (Hasta Despues Junta Rio Lamin),2013-06-04,2017-03-01,792,2013-06-04
8307002,DGA,dga_web,Rio Bio-Bio En Llanquen,767,-38.2008,-71.2989,83.0,Rio Bio-Bio,830.0,Rio Bio-Bio Alto (Hasta Despues Junta Rio Lamin),2003-01-01,2018-02-04,3574,2003-01-01
8304004,DGA,dga_web,Lonquimay,931,-38.4536,-71.3742,83.0,Rio Bio-Bio,830.0,Rio Bio-Bio Alto (Hasta Despues Junta Rio Lamin),2016-11-03,2018-02-04,450,2016-11-03
9120002,DGA,dga_web,Manzanar,790,-38.4631,-71.6992,91.0,Rio Imperial,912.0,Cautin Alto (Hasta Antes Junta R. Quepe),1972-03-07,1988-09-25,4964,-
9120003,DGA,dga_web,Malalcahuello,950,-38.4703,-71.5753,91.0,Rio Imperial,912.0,Cautin Alto (Hasta Antes Junta R. Quepe),1989-03-01,2018-02-04,1768,2016-11-03
9129005,DGA,dga_web,Pueblo Nuevo (Temuco),119,-38.7128,-72.5558,91.0,Rio Imperial,912.0,Cautin Alto (Hasta Antes Junta R. Quepe),2013-10-11,2018-02-04,1474,2013-10-11
9400000,DGA,dga_web,Rio Truful En Camino Internacional,520,-38.8444,-71.6536,94.0,Rio Tolten,940.0,Rio Allipen,2015-01-01,2018-02-04,1062,2015-01-01
9135003,DGA,dga_web,Freire Sendos,100,-38.9592,-72.6083,91.0,Rio Imperial,913.0,Rio Quepe,1984-06-28,1987-04-19,1008,-
9423001,DGA,dga_web,Rio Tolten En Coipue,200,-39.1,-72.3833,94.0,Rio Tolten,942.0,Lago Villarica Y Rio Tolten Alto (Antes  Allipen),2016-11-01,2018-02-04,413,2016-11-01
9420002,DGA,dga_web,Pucon,230,-39.2753,-71.9503,94.0,Rio Tolten,942.0,Lago Villarica Y Tolten Alto,1989-01-01,2018-02-04,3087,2013-10-30
10123004,DGA,dga_web,Llancahue,70,-39.8561,-73.1786,101.0,Rio Valdivia,1012.0,Rio Calle Calle,2014-01-01,2018-02-04,1279,2014-01-01
10100002,DGA,dga_web,Rio Fui En Desage Lago Pirihueico,600,-39.8747,-71.8897,101.0,Rio Valdivia,1010.0,Rio Valdivia Alto (Hasta Desague Lago Panguipulli),2003-04-12,2005-08-31,715,-
10360002,DGA,dga_web,Adolfo Matthei,55,-40.5883,-73.1069,103.0,Rio Bueno,1036.0,R. Rahue Bajo,2013-12-16,2018-02-04,1413,2013-12-16
